"id","name","description","module","action","createdAt","subcategoryId","key"
"cm9ecegoy000htlgsh3ibx7gx","Update Employee Details of Own","This permission will give access to update employee details of own.",,"Update","2025-04-12 15:00:07.736","cm9ec2nz90005tlgsgn51xhis","update_employee_own"
"cm9ech33m000jtlgsstxkr6qx","Update Salary Info Of All User","This permission will give access to update salary info of all user.",,"update","2025-04-12 15:02:09.558","cm9bl06q9000ctl1wp0mxw6tk","update_salary_all_user"
"cm9echqvg000ltlgss1rtf288","Update Salary Info Of Subordinates","This permission will give access to update salary info of subordinates",,"update","2025-04-12 15:02:40.9","cm9bl06q9000ctl1wp0mxw6tk","update_salary_subordinates"
"cm9eci8g8000ntlgsrv71xkdp","Update Salary Info Of Own","This permission will give access to update salary info of own.",,"update","2025-04-12 15:03:03.68","cm9ec2nz90005tlgsgn51xhis","update_salary_own"
"cm9ecjslj000ptlgstghj7psh","Update Banking Info Of All User","This permission will give access to update bank info of all user.",,"update","2025-04-12 15:04:16.452","cm9bl06q9000ctl1wp0mxw6tk","update_bank_all_user"
"cm9eckq0b000rtlgsiqdhq3fz","Update Banking Info Of Subordinates","This permission will give access to update banking info of subordinates.",,"update","2025-04-12 15:04:59.748","cm9bl06q9000ctl1wp0mxw6tk","update_bank_all_user"
"cm9eclqks000ttlgsv7g8j450","Update Banking info of Own","This permission will give access to update bank info of own.",,"update","2025-04-12 15:05:47.137","cm9ec2nz90005tlgsgn51xhis","update_bank_own"
"cmafk6v9c0001tl2wvu2axzgd","View Billing ","This permission allows to view billing details of organization.",,"Read","2025-05-08 16:05:38.808","cm8aa77w7000lp8v4qe1upt95","view_billing"
"cmahv8g6u0001jb26lxd573ez","View Banking Info of All User","This permission allows to view All user's banking info.",,"Read","2025-05-10 06:50:20.789","cm9bl06q9000ctl1wp0mxw6tk","view_bank_all_user"
"cmahv9ok00003jb26kq67dmuu","View Banking Info of subordinates.","This permission allows to view bank details of subordinates.",,"Read","2025-05-10 06:51:18.25","cm9bl06q9000ctl1wp0mxw6tk","view_bank_subordinates"
